i,date,holiday
410,2021-10-25,British Summertime (BST) Ends
411,2021-10-31,Halloween
412,2021-11-1,All Saints Day
413,2021-11-5,Guy Fawkes Night
414,2021-11-8,Remembrance Day (Remembrance Sunday)
415,2021-11-30,St Andrew's Day
416,2021-12-25,Christmas
417,2021-12-28,Boxing Day
418,2022-1-1,New Year's Day
419,2022-1-25,Robert Burns Night (Burns Night)
420,2022-1-27,Holocaust Memorial Day
421,2022-2-14,Valentines Day
422,2022-2-25,Shrove Tuesday (Pancake Day)
423,2022-2-26,Ash Wednesday
424,2022-3-1,St David's Day
425,2022-3-17,St Patricks Day
426,2022-3-22,Mothering Sunday (Mothers Day)
427,2022-3-29,British Summertime (BST) Begins
428,2022-4-1,April Fool's Day
429,2022-4-9,Maundy Thursday
430,2022-4-10,Good Friday
431,2022-4-12,Easter Sunday
432,2022-4-13,Easter Monday
433,2022-4-21,Queen Elizabeth's Birthday
434,2022-4-23,St George's Day
435,2022-5-4,May Day (Early May Bank Holiday)
436,2022-5-25,Spring Bank Holiday
437,2022-6-14,Trooping the Colour
438,2022-6-21,Father's Day
439,2022-7-14,Emmeline Pankhurst Day
440,2022-7-15,St.Swithun's Day (aka St. Swithin's)
441,2022-8-31,Summer Bank Holiday
442,2022-10-25,British Summertime (BST) Ends
443,2022-10-31,Halloween
444,2022-11-1,All Saints Day
445,2022-11-5,Guy Fawkes Night
446,2022-11-8,Remembrance Day (Remembrance Sunday)
447,2022-11-30,St Andrew's Day
448,2022-12-25,Christmas
449,2022-12-28,Boxing Day
450,2023-1-1,New Year's Day
451,2023-1-25,Robert Burns Night (Burns Night)
452,2023-1-27,Holocaust Memorial Day
453,2023-2-14,Valentines Day
454,2023-2-25,Shrove Tuesday (Pancake Day)
455,2023-2-26,Ash Wednesday
456,2023-3-1,St David's Day
457,2023-3-17,St Patricks Day
458,2023-3-22,Mothering Sunday (Mothers Day)
459,2023-3-29,British Summertime (BST) Begins
460,2023-4-1,April Fool's Day
461,2023-4-9,Maundy Thursday
462,2023-4-10,Good Friday
463,2023-4-12,Easter Sunday
464,2023-4-13,Easter Monday
465,2023-4-21,Queen Elizabeth's Birthday
466,2023-4-23,St George's Day
467,2023-5-4,May Day (Early May Bank Holiday)
468,2023-5-25,Spring Bank Holiday
469,2023-6-14,Trooping the Colour
470,2023-6-21,Father's Day
471,2023-7-14,Emmeline Pankhurst Day
472,2023-7-15,St.Swithun's Day (aka St. Swithin's)
473,2023-8-31,Summer Bank Holiday
474,2023-10-25,British Summertime (BST) Ends
475,2023-10-31,Halloween
476,2023-11-1,All Saints Day
477,2023-11-5,Guy Fawkes Night
478,2023-11-8,Remembrance Day (Remembrance Sunday)
479,2023-11-30,St Andrew's Day
480,2023-12-25,Christmas
481,2023-12-28,Boxing Day
